group,metric,cycle,mean_payoff,std_payoff,n_runs
inflator,binary,1,0.000000,0.000000,200
inflator,binary,2,0.000000,0.000000,200
inflator,binary,3,0.000000,0.000000,200
inflator,binary,4,0.000000,0.000000,200
inflator,binary,5,0.000000,0.000000,200
inflator,binary,6,-2.500000,0.000000,200
inflator,binary,7,-2.500000,0.000000,200
inflator,binary,8,-2.500000,0.000000,200
inflator,binary,9,-2.500000,0.000000,200
inflator,binary,10,-2.500000,0.000000,200
inflator,binary,11,-2.500000,0.000000,200
inflator,binary,12,-2.500000,0.000000,200
inflator,binary,13,-2.500000,0.000000,200
inflator,binary,14,-2.500000,0.000000,200
inflator,binary,15,-2.500000,0.000000,200
inflator,binary,16,-2.500000,0.000000,200
inflator,binary,17,-2.500000,0.000000,200
inflator,binary,18,-2.500000,0.000000,200
inflator,binary,19,-2.500000,0.000000,200
inflator,binary,20,-2.500000,0.000000,200
inflator,binary,21,-2.500000,0.000000,200
inflator,binary,22,-2.500000,0.000000,200
inflator,binary,23,-2.500000,0.000000,200
inflator,binary,24,-2.500000,0.000000,200
inflator,binary,25,-2.500000,0.000000,200
inflator,binary,26,-2.500000,0.000000,200
inflator,binary,27,-2.500000,0.000000,200
inflator,binary,28,-2.500000,0.000000,200
inflator,binary,29,-2.500000,0.000000,200
inflator,binary,30,-2.500000,0.000000,200
inflator,binary,31,-2.500000,0.000000,200
inflator,binary,32,-2.500000,0.000000,200
inflator,binary,33,-2.500000,0.000000,200
inflator,binary,34,-2.500000,0.000000,200
inflator,binary,35,-2.500000,0.000000,200
inflator,binary,36,-2.500000,0.000000,200
inflator,binary,37,-2.500000,0.000000,200
inflator,binary,38,-2.500000,0.000000,200
inflator,binary,39,-2.500000,0.000000,200
inflator,binary,40,-2.500000,0.000000,200
inflator,binary,41,-2.500000,0.000000,200
inflator,binary,42,-2.500000,0.000000,200
inflator,binary,43,-2.500000,0.000000,200
inflator,binary,44,-2.500000,0.000000,200
inflator,binary,45,-2.500000,0.000000,200
inflator,binary,46,-2.500000,0.000000,200
inflator,binary,47,-2.500000,0.000000,200
inflator,binary,48,-2.500000,0.000000,200
inflator,binary,49,-2.500000,0.000000,200
inflator,binary,50,-2.500000,0.000000,200
inflator,binary,51,-2.500000,0.000000,200
inflator,binary,52,-2.500000,0.000000,200
inflator,binary,53,-2.500000,0.000000,200
inflator,binary,54,-2.500000,0.000000,200
inflator,binary,55,-2.500000,0.000000,200
inflator,binary,56,-2.500000,0.000000,200
inflator,binary,57,-2.500000,0.000000,200
inflator,binary,58,-2.500000,0.000000,200
inflator,binary,59,-2.500000,0.000000,200
inflator,binary,60,-2.500000,0.000000,200
inflator,binary,61,-2.500000,0.000000,200
inflator,binary,62,-2.500000,0.000000,200
inflator,binary,63,-2.500000,0.000000,200
inflator,binary,64,-2.500000,0.000000,200
inflator,binary,65,-2.500000,0.000000,200
inflator,binary,66,-2.500000,0.000000,200
inflator,binary,67,-2.500000,0.000000,200
inflator,binary,68,-2.500000,0.000000,200
inflator,binary,69,-2.500000,0.000000,200
inflator,binary,70,-2.500000,0.000000,200
inflator,binary,71,-2.500000,0.000000,200
inflator,binary,72,-2.500000,0.000000,200
inflator,binary,73,-2.500000,0.000000,200
inflator,binary,74,-2.500000,0.000000,200
inflator,binary,75,-2.500000,0.000000,200
inflator,binary,76,-2.500000,0.000000,200
inflator,binary,77,-2.500000,0.000000,200
inflator,binary,78,-2.500000,0.000000,200
inflator,binary,79,-2.500000,0.000000,200
inflator,binary,80,-2.500000,0.000000,200
inflator,binary,81,-2.500000,0.000000,200
inflator,binary,82,-2.500000,0.000000,200
inflator,binary,83,-2.500000,0.000000,200
inflator,binary,84,-2.500000,0.000000,200
inflator,binary,85,-2.500000,0.000000,200
inflator,binary,86,-2.500000,0.000000,200
inflator,binary,87,-2.500000,0.000000,200
inflator,binary,88,-2.500000,0.000000,200
inflator,binary,89,-2.500000,0.000000,200
inflator,binary,90,-2.500000,0.000000,200
inflator,binary,91,-2.500000,0.000000,200
inflator,binary,92,-2.500000,0.000000,200
inflator,binary,93,-2.500000,0.000000,200
inflator,binary,94,-2.500000,0.000000,200
inflator,binary,95,-2.500000,0.000000,200
inflator,binary,96,-2.500000,0.000000,200
inflator,binary,97,-2.500000,0.000000,200
inflator,binary,98,-2.500000,0.000000,200
inflator,binary,99,-2.500000,0.000000,200
inflator,binary,100,-2.500000,0.000000,200
underreporter,binary,1,0.000000,0.000000,200
underreporter,binary,2,-2.500000,0.000000,200
underreporter,binary,3,-0.500000,0.000000,200
underreporter,binary,4,-0.500000,0.000000,200
underreporter,binary,5,-2.500000,0.000000,200
underreporter,binary,6,-0.500000,0.000000,200
underreporter,binary,7,-0.500000,0.000000,200
underreporter,binary,8,-2.500000,0.000000,200
underreporter,binary,9,-0.500000,0.000000,200
underreporter,binary,10,-0.500000,0.000000,200
underreporter,binary,11,-2.500000,0.000000,200
underreporter,binary,12,-0.500000,0.000000,200
underreporter,binary,13,-0.500000,0.000000,200
underreporter,binary,14,-2.500000,0.000000,200
underreporter,binary,15,-0.500000,0.000000,200
underreporter,binary,16,-0.500000,0.000000,200
underreporter,binary,17,-2.500000,0.000000,200
underreporter,binary,18,-0.500000,0.000000,200
underreporter,binary,19,-0.500000,0.000000,200
underreporter,binary,20,-2.500000,0.000000,200
underreporter,binary,21,-0.500000,0.000000,200
underreporter,binary,22,-0.500000,0.000000,200
underreporter,binary,23,-2.500000,0.000000,200
underreporter,binary,24,-0.500000,0.000000,200
underreporter,binary,25,-0.500000,0.000000,200
underreporter,binary,26,-2.500000,0.000000,200
underreporter,binary,27,-0.500000,0.000000,200
underreporter,binary,28,-0.500000,0.000000,200
underreporter,binary,29,-2.500000,0.000000,200
underreporter,binary,30,-0.500000,0.000000,200
underreporter,binary,31,-0.500000,0.000000,200
underreporter,binary,32,-2.500000,0.000000,200
underreporter,binary,33,-0.500000,0.000000,200
underreporter,binary,34,-0.500000,0.000000,200
underreporter,binary,35,-2.500000,0.000000,200
underreporter,binary,36,-0.500000,0.000000,200
underreporter,binary,37,-0.500000,0.000000,200
underreporter,binary,38,-2.500000,0.000000,200
underreporter,binary,39,-0.500000,0.000000,200
underreporter,binary,40,-0.500000,0.000000,200
underreporter,binary,41,-2.500000,0.000000,200
underreporter,binary,42,-0.500000,0.000000,200
underreporter,binary,43,-0.500000,0.000000,200
underreporter,binary,44,-2.500000,0.000000,200
underreporter,binary,45,-0.500000,0.000000,200
underreporter,binary,46,-0.500000,0.000000,200
underreporter,binary,47,-2.500000,0.000000,200
underreporter,binary,48,-0.500000,0.000000,200
underreporter,binary,49,-0.500000,0.000000,200
underreporter,binary,50,-2.500000,0.000000,200
underreporter,binary,51,-0.500000,0.000000,200
underreporter,binary,52,-0.500000,0.000000,200
underreporter,binary,53,-2.500000,0.000000,200
underreporter,binary,54,-0.500000,0.000000,200
underreporter,binary,55,-0.500000,0.000000,200
underreporter,binary,56,-2.500000,0.000000,200
underreporter,binary,57,-0.500000,0.000000,200
underreporter,binary,58,-0.500000,0.000000,200
underreporter,binary,59,-2.500000,0.000000,200
underreporter,binary,60,-0.500000,0.000000,200
underreporter,binary,61,-0.500000,0.000000,200
underreporter,binary,62,-2.500000,0.000000,200
underreporter,binary,63,-0.500000,0.000000,200
underreporter,binary,64,-0.500000,0.000000,200
underreporter,binary,65,-2.500000,0.000000,200
underreporter,binary,66,-0.500000,0.000000,200
underreporter,binary,67,-0.500000,0.000000,200
underreporter,binary,68,-2.500000,0.000000,200
underreporter,binary,69,-0.500000,0.000000,200
underreporter,binary,70,-0.500000,0.000000,200
underreporter,binary,71,-2.500000,0.000000,200
underreporter,binary,72,-0.500000,0.000000,200
underreporter,binary,73,-0.500000,0.000000,200
underreporter,binary,74,-2.500000,0.000000,200
underreporter,binary,75,-0.500000,0.000000,200
underreporter,binary,76,-0.500000,0.000000,200
underreporter,binary,77,-2.500000,0.000000,200
underreporter,binary,78,-0.500000,0.000000,200
underreporter,binary,79,-0.500000,0.000000,200
underreporter,binary,80,-2.500000,0.000000,200
underreporter,binary,81,-0.500000,0.000000,200
underreporter,binary,82,-0.500000,0.000000,200
underreporter,binary,83,-2.500000,0.000000,200
underreporter,binary,84,-0.500000,0.000000,200
underreporter,binary,85,-0.500000,0.000000,200
underreporter,binary,86,-2.500000,0.000000,200
underreporter,binary,87,-0.500000,0.000000,200
underreporter,binary,88,-0.500000,0.000000,200
underreporter,binary,89,-2.500000,0.000000,200
underreporter,binary,90,-0.500000,0.000000,200
underreporter,binary,91,-0.500000,0.000000,200
underreporter,binary,92,-2.500000,0.000000,200
underreporter,binary,93,-0.500000,0.000000,200
underreporter,binary,94,-0.500000,0.000000,200
underreporter,binary,95,-2.500000,0.000000,200
underreporter,binary,96,-0.500000,0.000000,200
underreporter,binary,97,-0.500000,0.000000,200
underreporter,binary,98,-2.500000,0.000000,200
underreporter,binary,99,-0.500000,0.000000,200
underreporter,binary,100,-0.500000,0.000000,200
mixed,binary,1,0.000000,0.000000,200
mixed,binary,2,0.000000,0.000000,200
mixed,binary,3,0.000000,0.000000,200
mixed,binary,4,0.000000,0.000000,200
mixed,binary,5,0.000000,0.000000,200
mixed,binary,6,0.000000,0.000000,200
mixed,binary,7,-2.500000,0.000000,200
mixed,binary,8,-0.500000,0.000000,200
mixed,binary,9,-2.500000,0.000000,200
mixed,binary,10,-0.500000,0.000000,200
mixed,binary,11,-2.500000,0.000000,200
mixed,binary,12,-0.500000,0.000000,200
mixed,binary,13,-2.500000,0.000000,200
mixed,binary,14,-0.500000,0.000000,200
mixed,binary,15,-2.500000,0.000000,200
mixed,binary,16,-0.500000,0.000000,200
mixed,binary,17,-2.500000,0.000000,200
mixed,binary,18,-0.500000,0.000000,200
mixed,binary,19,-2.500000,0.000000,200
mixed,binary,20,-0.500000,0.000000,200
mixed,binary,21,-2.500000,0.000000,200
mixed,binary,22,-0.500000,0.000000,200
mixed,binary,23,-2.500000,0.000000,200
mixed,binary,24,-0.500000,0.000000,200
mixed,binary,25,-2.500000,0.000000,200
mixed,binary,26,-0.500000,0.000000,200
mixed,binary,27,-2.500000,0.000000,200
mixed,binary,28,-0.500000,0.000000,200
mixed,binary,29,-2.500000,0.000000,200
mixed,binary,30,-0.500000,0.000000,200
mixed,binary,31,-2.500000,0.000000,200
mixed,binary,32,-0.500000,0.000000,200
mixed,binary,33,-2.500000,0.000000,200
mixed,binary,34,-0.500000,0.000000,200
mixed,binary,35,-2.500000,0.000000,200
mixed,binary,36,-0.500000,0.000000,200
mixed,binary,37,-2.500000,0.000000,200
mixed,binary,38,-0.500000,0.000000,200
mixed,binary,39,-2.500000,0.000000,200
mixed,binary,40,-0.500000,0.000000,200
mixed,binary,41,-2.500000,0.000000,200
mixed,binary,42,-0.500000,0.000000,200
mixed,binary,43,-2.500000,0.000000,200
mixed,binary,44,-0.500000,0.000000,200
mixed,binary,45,-2.500000,0.000000,200
mixed,binary,46,-0.500000,0.000000,200
mixed,binary,47,-2.500000,0.000000,200
mixed,binary,48,-0.500000,0.000000,200
mixed,binary,49,-2.500000,0.000000,200
mixed,binary,50,-0.500000,0.000000,200
mixed,binary,51,-2.500000,0.000000,200
mixed,binary,52,-0.500000,0.000000,200
mixed,binary,53,-2.500000,0.000000,200
mixed,binary,54,-0.500000,0.000000,200
mixed,binary,55,-2.500000,0.000000,200
mixed,binary,56,-0.500000,0.000000,200
mixed,binary,57,-2.500000,0.000000,200
mixed,binary,58,-0.500000,0.000000,200
