run_id,strategy,trust_floor,seed,final_distance_to_goal,initial_distance_to_goal,task_completed,final_trust,total_detections,cum_payoff_binary_final,cum_payoff_proportional_final,mean_payoff_binary,mean_payoff_proportional
1,inflator,0.0,7501,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
2,inflator,0.0,7502,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
3,inflator,0.0,7503,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
4,inflator,0.0,7504,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
5,inflator,0.0,7505,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
6,inflator,0.0,7506,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
7,inflator,0.0,7507,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
8,inflator,0.0,7508,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
9,inflator,0.0,7509,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
10,inflator,0.0,7510,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
11,inflator,0.0,7511,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
12,inflator,0.0,7512,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
13,inflator,0.0,7513,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
14,inflator,0.0,7514,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
15,inflator,0.0,7515,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
16,inflator,0.0,7516,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
17,inflator,0.0,7517,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
18,inflator,0.0,7518,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
19,inflator,0.0,7519,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
20,inflator,0.0,7520,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
21,inflator,0.0,7521,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
22,inflator,0.0,7522,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
23,inflator,0.0,7523,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
24,inflator,0.0,7524,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
25,inflator,0.0,7525,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
26,inflator,0.0,7526,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
27,inflator,0.0,7527,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
28,inflator,0.0,7528,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
29,inflator,0.0,7529,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
30,inflator,0.0,7530,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
31,inflator,0.0,7531,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
32,inflator,0.0,7532,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
33,inflator,0.0,7533,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
34,inflator,0.0,7534,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
35,inflator,0.0,7535,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
36,inflator,0.0,7536,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
37,inflator,0.0,7537,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
38,inflator,0.0,7538,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
39,inflator,0.0,7539,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
40,inflator,0.0,7540,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
41,inflator,0.0,7541,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
42,inflator,0.0,7542,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
43,inflator,0.0,7543,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
44,inflator,0.0,7544,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
45,inflator,0.0,7545,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
46,inflator,0.0,7546,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
47,inflator,0.0,7547,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
48,inflator,0.0,7548,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
49,inflator,0.0,7549,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
50,inflator,0.0,7550,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
51,inflator,0.0,7551,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
52,inflator,0.0,7552,25.00000000000001,40.0,False,0.0,95,-237.5,-179.26100000000022,-2.375,-1.7926100000000023
