run_id,agent_type,seed,supervisability,integrity_extended,traceability,acs,cycles_with_projection,cycles_compliant,cycles_with_detection
1,syncference,8001,1.0,1.0,1.0,1.0,100,100,0
2,syncference,8002,1.0,1.0,1.0,1.0,100,100,0
3,syncference,8003,1.0,1.0,1.0,1.0,100,100,0
4,syncference,8004,1.0,1.0,1.0,1.0,100,100,0
5,syncference,8005,1.0,1.0,1.0,1.0,100,100,0
6,syncference,8006,1.0,1.0,1.0,1.0,100,100,0
7,syncference,8007,1.0,1.0,1.0,1.0,100,100,0
8,syncference,8008,1.0,1.0,1.0,1.0,100,100,0
9,syncference,8009,1.0,1.0,1.0,1.0,100,100,0
10,syncference,8010,1.0,1.0,1.0,1.0,100,100,0
11,syncference,8011,1.0,1.0,1.0,1.0,100,100,0
12,syncference,8012,1.0,1.0,1.0,1.0,100,100,0
13,syncference,8013,1.0,1.0,1.0,1.0,100,100,0
14,syncference,8014,1.0,1.0,1.0,1.0,100,100,0
15,syncference,8015,1.0,1.0,1.0,1.0,100,100,0
16,syncference,8016,1.0,1.0,1.0,1.0,100,100,0
17,syncference,8017,1.0,1.0,1.0,1.0,100,100,0
18,syncference,8018,1.0,1.0,1.0,1.0,100,100,0
19,syncference,8019,1.0,1.0,1.0,1.0,100,100,0
20,syncference,8020,1.0,1.0,1.0,1.0,100,100,0
21,syncference,8021,1.0,1.0,1.0,1.0,100,100,0
22,syncference,8022,1.0,1.0,1.0,1.0,100,100,0
23,syncference,8023,1.0,1.0,1.0,1.0,100,100,0
24,syncference,8024,1.0,1.0,1.0,1.0,100,100,0
25,syncference,8025,1.0,1.0,1.0,1.0,100,100,0
26,syncference,8026,1.0,1.0,1.0,1.0,100,100,0
27,syncference,8027,1.0,1.0,1.0,1.0,100,100,0
28,syncference,8028,1.0,1.0,1.0,1.0,100,100,0
29,syncference,8029,1.0,1.0,1.0,1.0,100,100,0
30,syncference,8030,1.0,1.0,1.0,1.0,100,100,0
31,syncference,8031,1.0,1.0,1.0,1.0,100,100,0
32,syncference,8032,1.0,1.0,1.0,1.0,100,100,0
33,syncference,8033,1.0,1.0,1.0,1.0,100,100,0
34,syncference,8034,1.0,1.0,1.0,1.0,100,100,0
35,syncference,8035,1.0,1.0,1.0,1.0,100,100,0
36,syncference,8036,1.0,1.0,1.0,1.0,100,100,0
37,syncference,8037,1.0,1.0,1.0,1.0,100,100,0
38,syncference,8038,1.0,1.0,1.0,1.0,100,100,0
39,syncference,8039,1.0,1.0,1.0,1.0,100,100,0
40,syncference,8040,1.0,1.0,1.0,1.0,100,100,0
41,syncference,8041,1.0,1.0,1.0,1.0,100,100,0
42,syncference,8042,1.0,1.0,1.0,1.0,100,100,0
43,syncference,8043,1.0,1.0,1.0,1.0,100,100,0
44,syncference,8044,1.0,1.0,1.0,1.0,100,100,0
45,syncference,8045,1.0,1.0,1.0,1.0,100,100,0
46,syncference,8046,1.0,1.0,1.0,1.0,100,100,0
47,syncference,8047,1.0,1.0,1.0,1.0,100,100,0
48,syncference,8048,1.0,1.0,1.0,1.0,100,100,0
49,syncference,8049,1.0,1.0,1.0,1.0,100,100,0
50,syncference,8050,1.0,1.0,1.0,1.0,100,100,0
51,syncference,8051,1.0,1.0,1.0,1.0,100,100,0
52,syncference,8052,1.0,1.0,1.0,1.0,100,100,0
53,syncference,8053,1.0,1.0,1.0,1.0,100,100,0
54,syncference,8054,1.0,1.0,1.0,1.0,100,100,0
55,syncference,8055,1.0,1.0,1.0,1.0,100,100,0
